STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
G0050330010040,湖州收费站,zhejiang,RAMP_PLAZA,120.162668,30.911346,0
G0015330100020,临海西收费站,zhejiang,RAMP_PLAZA,121.052442,28.872983,0
G1512330020010,沙溪收费站,zhejiang,RAMP_PLAZA,121.140142,29.540273,0
G0015330100010,临海南收费站,zhejiang,RAMP_PLAZA,121.242211,28.782182,0
G015W330010040,秀州嘉兴西收费站,zhejiang,RAMP_PLAZA,120.683499,30.753279,0
G0025330030110,新路湾收费站,zhejiang,RAMP_PLAZA,119.273247,28.691937,0
G0025330050030,查田收费站,zhejiang,RAMP_PLAZA,118.990532,27.883981,0
G0003330010050,江山收费站,zhejiang,RAMP_PLAZA,118.675355,28.755671,0
G0003330010080,芳村收费站,zhejiang,RAMP_PLAZA,118.591589,29.035063,0
G0092330010050,瓜沥收费站,zhejiang,RAMP_PLAZA,120.450967,30.193608,0
S0024330020030,安华收费站,zhejiang,RAMP_PLAZA,120.136335,29.577512,0
G015W330020030,百步收费站,zhejiang,MAIN_LINE_PLAZA,120.758401,30.55589,0
S0020330010020,霞浦收费站,zhejiang,MAIN_LINE_PLAZA,121.878744,29.873087,0
G0092330010100,牟山收费站,zhejiang,RAMP_PLAZA,120.983551,30.064892,0
G0025330030010,丽水收费站,zhejiang,RAMP_PLAZA,119.904552,28.393989,0
S0009330030010,六工段收费站,zhejiang,RAMP_PLAZA,120.530715,30.355371,0
S0027330010040,永康东收费站,zhejiang,RAMP_PLAZA,120.116667,28.884598,0
G0060330010050,王店收费站,zhejiang,RAMP_PLAZA,120.709809,30.642961,0
G0015330120020,七都收费站,zhejiang,MAIN_LINE_PLAZA,120.502094,30.968137,0
G060N330020080,银岭关收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,118.073886,29.093331,0
G0025330020120,富春江收费站,zhejiang,RAMP_PLAZA,119.636449,29.720918,0
S0026330010060,陈宅收费站,zhejiang,MAIN_LINE_PLAZA,120.343415,29.510049,0
S0026330010140,神仙居收费站,zhejiang,MAIN_LINE_PLAZA,120.619836,28.7454,0
G0092330010090,上虞收费站,zhejiang,RAMP_PLAZA,120.900106,30.048326,0
S0026330010210,古庙收费站,zhejiang,MAIN_LINE_PLAZA,120.786519,28.226324,0
S0026330010190,花坦收费站,zhejiang,MAIN_LINE_PLAZA,120.773773,28.271838,0
G1501330010060,东钱湖收费站,zhejiang,RAMP_PLAZA,121.640996,29.812497,0
S0010330010030,永嘉南收费站,zhejiang,MAIN_LINE_PLAZA,120.688667,28.084411,0
G0060330020050,诸暨收费站,zhejiang,RAMP_PLAZA,120.190594,29.737727,0
G0015330070010,三门收费站,zhejiang,RAMP_PLAZA,121.311247,29.080884,0
G0025330010050,青山收费站,zhejiang,RAMP_PLAZA,120.056833,30.69343,0
G0025330040040,永康收费站,zhejiang,RAMP_PLAZA,120.008883,28.855641,0
G1512330030030,东阳收费站,zhejiang,RAMP_PLAZA,120.265222,29.308954,0
G0015330100120,章安收费站,zhejiang,RAMP_PLAZA,121.409016,28.739926,0
G0056330010100,藻溪收费站,zhejiang,RAMP_PLAZA,119.503142,30.199376,0
G0056330010170,九峰收费站,zhejiang,RAMP_PLAZA,119.875279,30.249512,0
G0050330010080,浙皖收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,119.575718,30.919097,0
G0015330060030,宁海收费站,zhejiang,RAMP_PLAZA,121.459163,29.357322,0
G015W330050100,白鹤收费站,zhejiang,RAMP_PLAZA,120.934734,29.238707,0
G060N330020050,开化南收费站,zhejiang,RAMP_PLAZA,118.396987,29.084065,0
G015W330010020,余新收费站,zhejiang,RAMP_PLAZA,120.812529,30.65558,0
G0003330010100,马金收费站,zhejiang,RAMP_PLAZA,118.39124,29.29811,0
G0015330040050,慈城收费站,zhejiang,MAIN_LINE_PLAZA,121.416268,30.000391,0
S0013330010020,桐乡西收费站,zhejiang,RAMP_PLAZA,120.337855,30.614759,0
S0034330010010,景宁收费站,zhejiang,MAIN_LINE_PLAZA,119.635039,27.989836,0
G0060330020240,浦阳收费站,zhejiang,RAMP_PLAZA,120.245444,29.964883,0
G2501330010160,江东大桥收费站,zhejiang,RAMP_PLAZA,120.396611,30.323043,0
G0015330010040,盐官收费站,zhejiang,RAMP_PLAZA,120.549005,30.415523,0
G0025330050010,龙泉收费站,zhejiang,RAMP_PLAZA,119.120586,28.045588,0
G0025330040160,青田收费站,zhejiang,RAMP_PLAZA,120.271977,28.167631,0
G1501330010070,云龙收费站,zhejiang,RAMP_PLAZA,121.587794,29.781759,0
S0014330020070,紫金港收费站,zhejiang,MAIN_LINE_PLAZA,120.048383,30.338733,0
G015W330040020,滨海新城北收费站,zhejiang,RAMP_PLAZA,120.777479,30.199316,0
G0060330020040,次坞收费站,zhejiang,RAMP_PLAZA,120.212679,29.89488,0
G0015330080040,温岭西收费站,zhejiang,MAIN_LINE_PLAZA,121.250393,28.469158,0
G0015330050010,北仑收费站,zhejiang,MAIN_LINE_PLAZA,121.808818,29.890117,0
G0015330100060,白塔收费站,zhejiang,RAMP_PLAZA,120.620627,28.773816,0
G0015330110060,瑞安收费站,zhejiang,RAMP_PLAZA,120.635657,27.798925,0
G015W330050040,上浦收费站,zhejiang,RAMP_PLAZA,120.833448,29.896093,0
G0015330110100,苍南收费站,zhejiang,RAMP_PLAZA,120.434081,27.539155,0
G0025330020070,中埠收费站,zhejiang,RAMP_PLAZA,119.923514,29.95651,0
G0025330060010,八都收费站,zhejiang,RAMP_PLAZA,118.961975,27.980687,0
G0025330020140,乾潭收费站,zhejiang,RAMP_PLAZA,119.518328,29.621333,0
G2501330010080,半山收费站,zhejiang,RAMP_PLAZA,120.197166,30.387407,0
G9211330010080,沥港收费站,zhejiang,RAMP_PLAZA,121.860587,30.049709,0
S0012330010060,王江泾收费站,zhejiang,MAIN_LINE_PLAZA,120.712187,30.831872,0
G0025330060030,浙闽收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,118.900597,27.665226,0
G9211330010060,金塘收费站,zhejiang,RAMP_PLAZA,121.902138,30.053787,0
G2501330010050,五常收费站,zhejiang,RAMP_PLAZA,120.047454,30.278662,0
G0092330010130,余姚收费站,zhejiang,RAMP_PLAZA,121.158196,30.003641,0
G0025330020040,东洲岛收费站,zhejiang,RAMP_PLAZA,120.063035,30.072049,0
S0012330010050,油车港收费站,zhejiang,RAMP_PLAZA,120.759752,30.851769,0
S0004330010060,坎红路收费站,zhejiang,RAMP_PLAZA,120.401574,30.219947,0
S0010330020050,万全收费站,zhejiang,RAMP_PLAZA,120.55184,27.747915,0
S0014330020010,安吉北收费站,zhejiang,RAMP_PLAZA,119.683366,30.752833,0
G0060330020120,金华收费站,zhejiang,RAMP_PLAZA,119.655916,29.139572,0
G0015330110040,温州南收费站,zhejiang,RAMP_PLAZA,120.689939,27.932759,0
G015W330050070,嵊州收费站,zhejiang,RAMP_PLAZA,120.830782,29.648089,0
G0015330100040,仙居东收费站,zhejiang,RAMP_PLAZA,120.856449,28.868101,0
G0060330020150,游埠收费站,zhejiang,RAMP_PLAZA,119.319944,29.104464,0
G0025330030050,赤石收费站,zhejiang,RAMP_PLAZA,119.459669,28.122787,0
G0025330050020,龙泉南收费站,zhejiang,RAMP_PLAZA,119.083898,28.00105,0
G0003330010030,峡口收费站,zhejiang,RAMP_PLAZA,118.537423,28.456566,0
G0050330010070,泗安收费站,zhejiang,RAMP_PLAZA,119.647987,30.90768,0
G2501330010070,良渚收费站,zhejiang,RAMP_PLAZA,120.068526,30.362718,0
G0015330110070,飞云收费站,zhejiang,RAMP_PLAZA,120.599206,27.779404,0
G1501330010040,小港收费站,zhejiang,RAMP_PLAZA,121.686581,29.910147,0
G0003330010090,开化收费站,zhejiang,RAMP_PLAZA,118.424633,29.14728,0
S0004330010040,机场收费站,zhejiang,MAIN_LINE_PLAZA,120.390438,30.215822,0
G0092330010140,大隐收费站,zhejiang,RAMP_PLAZA,121.382254,29.938416,0
S0026330010150,公盂岩收费站,zhejiang,MAIN_LINE_PLAZA,120.674215,28.671983,0
S0010330010020,瓯北收费站,zhejiang,MAIN_LINE_PLAZA,120.610866,28.071327,0
S0026330010030,诸暨东收费站,zhejiang,MAIN_LINE_PLAZA,120.308114,29.717982,0
S0026330010010,直埠收费站,zhejiang,MAIN_LINE_PLAZA,120.238488,29.818386,0
S0013330010040,新安收费站,zhejiang,RAMP_PLAZA,120.215185,30.537848,0
G0025330020190,寿昌收费站,zhejiang,RAMP_PLAZA,119.24203,29.39947,0
S0045330010010,湖门收费站,zhejiang,RAMP_PLAZA,120.061447,29.402216,0
S0024330010050,绍兴南收费站,zhejiang,RAMP_PLAZA,120.570023,29.924895,0
S0014330020080,天子湖收费站,zhejiang,RAMP_PLAZA,119.693477,30.828017,0
G0015330120030,温州东收费站,zhejiang,MAIN_LINE_PLAZA,120.755322,27.968387,0
G0060330020090,义乌收费站,zhejiang,RAMP_PLAZA,120.031601,29.37351,0
G1512330030050,徐村收费站,zhejiang,RAMP_PLAZA,120.058343,29.249728,0
G0025330020060,中埠收费站,zhejiang,RAMP_PLAZA,119.923514,29.95651,0
G0025330040060,洪渡收费站,zhejiang,RAMP_PLAZA,119.871617,28.608575,0
G0056330010090,藻溪收费站,zhejiang,RAMP_PLAZA,119.503051,30.199481,0
