ID,STATION_TYPE
G0003370080050,PROVINCE_STATION_INDEPENDENT
G0020370070050,PROVINCE_STATION_INDEPENDENT
G0076510010010,PROVINCE_STATION_INDEPENDENT
G0065610130110,PROVINCE_STATION_INDEPENDENT
S0011430040110,PROVINCE_STATION_COMMON
S0046140190090,PROVINCE_STATION_INDEPENDENT
G0018140100010,PROVINCE_STATION_INDEPENDENT
G0060360320110,PROVINCE_STATION_INDEPENDENT
G1816640020070,PROVINCE_STATION_INDEPENDENT
G0040320010010,PROVINCE_STATION_COMMON
S0011430010010,PROVINCE_STATION_COMMON
G0422440010010,PROVINCE_STATION_COMMON
G0022620030090,PROVINCE_STATION_INDEPENDENT
G5013500010080,PROVINCE_STATION_COMMON
G0060520060160,PROVINCE_STATION_INDEPENDENT
G0002120030050,PROVINCE_STATION_COMMON
G0078530010040,PROVINCE_STATION_COMMON
G0006630010010,PROVINCE_STATION_INDEPENDENT
G0035370030060,PROVINCE_STATION_INDEPENDENT
G0025210020190,PROVINCE_STATION_COMMON
G5013510010140,PROVINCE_STATION_INDEPENDENT
G6011360330040,PROVINCE_STATION_COMMON
S0041360530100,PROVINCE_STATION_INDEPENDENT
G0016150040010,PROVINCE_STATION_COMMON
G0004410010010,PROVINCE_STATION_INDEPENDENT
S0012440010020,PROVINCE_STATION_INDEPENDENT
G0055440010110,PROVINCE_STATION_INDEPENDENT
S0032410070010,PROVINCE_STATION_INDEPENDENT
G0002320060100,PROVINCE_STATION_COMMON
G0055410010010,PROVINCE_STATION_INDEPENDENT
S0028410060040,PROVINCE_STATION_INDEPENDENT
S0011430030110,PROVINCE_STATION_COMMON
S0031430010050,PROVINCE_STATION_COMMON
G0030410050080,PROVINCE_STATION_INDEPENDENT
G0075510040060,PROVINCE_STATION_COMMON
G0018140110040,PROVINCE_STATION_COMMON
G042S420010010,PROVINCE_STATION_COMMON
G0050420010010,PROVINCE_STATION_INDEPENDENT
G0002370060050,PROVINCE_STATION_INDEPENDENT
S0021120020010,PROVINCE_STATION_COMMON
S0008440020150,PROVINCE_STATION_COMMON
G0030620140050,PROVINCE_STATION_INDEPENDENT
S0089420010040,PROVINCE_STATION_COMMON
S0076140550010,PROVINCE_STATION_COMMON
S0029360160020,PROVINCE_STATION_COMMON
S0045140010010,PROVINCE_STATION_INDEPENDENT
G0040340030050,PROVINCE_STATION_INDEPENDENT
G0093510030030,PROVINCE_STATION_COMMON
G0001130010040,PROVINCE_STATION_COMMON
G0075500050040,PROVINCE_STATION_INDEPENDENT
G0022620040010,PROVINCE_STATION_INDEPENDENT
G0076430030060,PROVINCE_STATION_COMMON
G0072360300010,PROVINCE_STATION_INDEPENDENT
G0078530010050,PROVINCE_STATION_COMMON
G0072360390060,PROVINCE_STATION_INDEPENDENT
S0046360610030,PROVINCE_STATION_INDEPENDENT
G2516130020100,PROVINCE_STATION_COMMON
S0032410010030,PROVINCE_STATION_INDEPENDENT
S0081430010060,PROVINCE_STATION_COMMON
G1511370040010,PROVINCE_STATION_INDEPENDENT
G0004420010230,PROVINCE_STATION_COMMON
G0055420010010,PROVINCE_STATION_COMMON
G0076360270070,PROVINCE_STATION_INDEPENDENT
G0042510010010,PROVINCE_STATION_INDEPENDENT
G0080450070010,PROVINCE_STATION_COMMON
G0025120010060,PROVINCE_STATION_COMMON
G4216510020070,PROVINCE_STATION_COMMON
G0025330050060,PROVINCE_STATION_INDEPENDENT
G0003330010010,PROVINCE_STATION_INDEPENDENT
G0050420050150,PROVINCE_STATION_COMMON
G7011420010040,PROVINCE_STATION_COMMON
S0022410040030,PROVINCE_STATION_INDEPENDENT
G0020610010010,PROVINCE_STATION_INDEPENDENT
G0030610010010,PROVINCE_STATION_INDEPENDENT
S0097410010010,PROVINCE_STATION_INDEPENDENT
G0036410010010,PROVINCE_STATION_INDEPENDENT
G04W2430010010,PROVINCE_STATION_COMMON
G0059450010010,PROVINCE_STATION_COMMON
G2511210010010,PROVINCE_STATION_COMMON
S0001120010010,PROVINCE_STATION_COMMON
G0020130020030,PROVINCE_STATION_INDEPENDENT
G0045150040070,PROVINCE_STATION_COMMON
G6911420020050,PROVINCE_STATION_COMMON
G0015440010010,PROVINCE_STATION_INDEPENDENT
S0089360410040,PROVINCE_STATION_INDEPENDENT
G0072430030640,PROVINCE_STATION_COMMON
S0026410010010,PROVINCE_STATION_INDEPENDENT
G0085500010010,PROVINCE_STATION_COMMON
G5515500020010,PROVINCE_STATION_COMMON
G0005510090050,PROVINCE_STATION_INDEPENDENT
S0011130010010,PROVINCE_STATION_COMMON
G0002130030040,PROVINCE_STATION_INDEPENDENT
G0070610060070,PROVINCE_STATION_INDEPENDENT
G0025150010010,PROVINCE_STATION_COMMON
S0050350010020,PROVINCE_STATION_INDEPENDENT
G4215520010010,PROVINCE_STATION_INDEPENDENT
G0076520060090,PROVINCE_STATION_COMMON
G0002110010120,PROVINCE_STATION_COMMON
G0050500010010,PROVINCE_STATION_COMMON
S0080360460010,PROVINCE_STATION_INDEPENDENT
G0001210060090,PROVINCE_STATION_COMMON
G2518450010030,PROVINCE_STATION_COMMON
G1812130010090,PROVINCE_STATION_INDEPENDENT
G1516320030020,PROVINCE_STATION_COMMON
G0020140420030,PROVINCE_STATION_INDEPENDENT
G0005610010010,PROVINCE_STATION_INDEPENDENT
G2211610010010,PROVINCE_STATION_INDEPENDENT
G0005530020010,PROVINCE_STATION_COMMON
G0045150010010,PROVINCE_STATION_COMMON
G0072350020070,PROVINCE_STATION_INDEPENDENT
G1514350010010,PROVINCE_STATION_INDEPENDENT
G0007150030130,PROVINCE_STATION_INDEPENDENT
G0059150010060,PROVINCE_STATION_INDEPENDENT
G0065500080080,PROVINCE_STATION_COMMON
S0092430010010,PROVINCE_STATION_COMMON
G0015350090100,PROVINCE_STATION_INDEPENDENT
G0006640010190,PROVINCE_STATION_INDEPENDENT
G0050330010010,PROVINCE_STATION_COMMON
G0042420010010,PROVINCE_STATION_COMMON
S0341320010010,PROVINCE_STATION_COMMON
G0045360690040,PROVINCE_STATION_COMMON
G4213610010040,PROVINCE_STATION_INDEPENDENT
G0003130010010,PROVINCE_STATION_INDEPENDENT
G0004430040380,PROVINCE_STATION_COMMON
G0025350010010,PROVINCE_STATION_INDEPENDENT
G15W3350090060,PROVINCE_STATION_INDEPENDENT
G0018130010010,PROVINCE_STATION_COMMON
G0018130030050,PROVINCE_STATION_INDEPENDENT
G0045130020120,PROVINCE_STATION_INDEPENDENT
G0003130010070,PROVINCE_STATION_INDEPENDENT
G2516130010050,PROVINCE_STATION_INDEPENDENT
G0076360360010,PROVINCE_STATION_INDEPENDENT
S0026500010020,PROVINCE_STATION_COMMON
G0003370010010,PROVINCE_STATION_INDEPENDENT
G0025370040050,PROVINCE_STATION_INDEPENDENT
G003W370040060,PROVINCE_STATION_INDEPENDENT
G0093500020050,PROVINCE_STATION_COMMON
G0060520030140,PROVINCE_STATION_COMMON
G0076520010010,PROVINCE_STATION_COMMON
G0012150010010,PROVINCE_STATION_INDEPENDENT
S0011130010060,PROVINCE_STATION_INDEPENDENT
G0005130010030,PROVINCE_STATION_INDEPENDENT
G0025320010010,PROVINCE_STATION_COMMON
G4012350010010,PROVINCE_STATION_INDEPENDENT
G0018130010050,PROVINCE_STATION_INDEPENDENT
G0025130010010,PROVINCE_STATION_INDEPENDENT
S0006340020040,PROVINCE_STATION_COMMON
G0001230010010,PROVINCE_STATION_INDEPENDENT
G0002130010070,PROVINCE_STATION_COMMON
G0045130010050,PROVINCE_STATION_INDEPENDENT
G001N130050040,PROVINCE_STATION_INDEPENDENT
G0022640010030,PROVINCE_STATION_INDEPENDENT
G0006640010010,PROVINCE_STATION_INDEPENDENT
G0025320080090,PROVINCE_STATION_COMMON
G0001120010020,PROVINCE_STATION_COMMON
G1212220010140,PROVINCE_STATION_COMMON
G0025440050010,PROVINCE_STATION_INDEPENDENT
G0035410020040,PROVINCE_STATION_INDEPENDENT
S0001370020080,PROVINCE_STATION_INDEPENDENT
G0002370110080,PROVINCE_STATION_INDEPENDENT
G0001110010070,PROVINCE_STATION_COMMON
G0025350060080,PROVINCE_STATION_INDEPENDENT
S0311350030010,PROVINCE_STATION_INDEPENDENT
G0036340030050,PROVINCE_STATION_COMMON
G0035340010010,PROVINCE_STATION_COMMON
G0035370020070,PROVINCE_STATION_INDEPENDENT
G5012500020040,PROVINCE_STATION_COMMON
G0003350010010,PROVINCE_STATION_INDEPENDENT
G0001130020030,PROVINCE_STATION_COMMON
S0030140070070,PROVINCE_STATION_COMMON
G0015310010010,PROVINCE_STATION_INDEPENDENT
G7011610020140,PROVINCE_STATION_INDEPENDENT
S0032610010060,PROVINCE_STATION_INDEPENDENT
G0056520010010,PROVINCE_STATION_INDEPENDENT
G2511150020050,PROVINCE_STATION_COMMON
G0050500020060,PROVINCE_STATION_COMMON
G0070420010010,PROVINCE_STATION_COMMON
G0022610010010,PROVINCE_STATION_INDEPENDENT
G0055140470020,PROVINCE_STATION_INDEPENDENT
S0005150010020,PROVINCE_STATION_INDEPENDENT
G003W370020010,PROVINCE_STATION_INDEPENDENT
G0030410010010,PROVINCE_STATION_INDEPENDENT
G0045130030010,PROVINCE_STATION_INDEPENDENT
S0032130010070,PROVINCE_STATION_COMMON
S0060450030050,PROVINCE_STATION_COMMON
G0078450080100,PROVINCE_STATION_COMMON
G0093500010010,PROVINCE_STATION_COMMON
G0042500010010,PROVINCE_STATION_INDEPENDENT
G0070350030020,PROVINCE_STATION_INDEPENDENT
S0026310010040,PROVINCE_STATION_COMMON
S0020360100040,PROVINCE_STATION_INDEPENDENT
G0015320010010,PROVINCE_STATION_COMMON
G0030620010010,PROVINCE_STATION_COMMON
G0070610010010,PROVINCE_STATION_INDEPENDENT
G0006150100030,PROVINCE_STATION_INDEPENDENT
G2516140480010,PROVINCE_STATION_COMMON
G0035360090050,PROVINCE_STATION_COMMON
G2516370040040,PROVINCE_STATION_INDEPENDENT
G0085530010010,PROVINCE_STATION_INDEPENDENT
G0035360070010,PROVINCE_STATION_INDEPENDENT
S0058320010010,PROVINCE_STATION_COMMON
G5012420010030,PROVINCE_STATION_COMMON
G0045360140010,PROVINCE_STATION_INDEPENDENT
S0024530010020,PROVINCE_STATION_COMMON
G0005610070010,PROVINCE_STATION_INDEPENDENT
G0085510040150,PROVINCE_STATION_INDEPENDENT
G0042420040070,PROVINCE_STATION_INDEPENDENT
G4213420040090,PROVINCE_STATION_INDEPENDENT
S0069320010010,PROVINCE_STATION_COMMON
G0060430010050,PROVINCE_STATION_COMMON
G015W330010060,PROVINCE_STATION_INDEPENDENT
G0012220010010,PROVINCE_STATION_COMMON
S0021340010040,PROVINCE_STATION_COMMON
G0040610010010,PROVINCE_STATION_INDEPENDENT
G7011610010010,PROVINCE_STATION_INDEPENDENT
G0056430060020,PROVINCE_STATION_INDEPENDENT
G9999459999010,PROVINCE_STATION_COMMON
G0078520010010,PROVINCE_STATION_INDEPENDENT
G0007620010010,PROVINCE_STATION_INDEPENDENT
G0018120030060,PROVINCE_STATION_COMMON
G5012500002060,PROVINCE_STATION_COMMON
G0045130040010,PROVINCE_STATION_INDEPENDENT
G0060330010010,PROVINCE_STATION_INDEPENDENT
G0003330010110,PROVINCE_STATION_INDEPENDENT
G0011220040030,PROVINCE_STATION_COMMON
S0010220010030,PROVINCE_STATION_COMMON
G1517360570010,PROVINCE_STATION_INDEPENDENT
G0015370070040,PROVINCE_STATION_INDEPENDENT
S0059410030030,PROVINCE_STATION_INDEPENDENT
S0012370020070,PROVINCE_STATION_INDEPENDENT
G0002130010010,PROVINCE_STATION_COMMON
G0006110010220,PROVINCE_STATION_INDEPENDENT
G0004110010090,PROVINCE_STATION_COMMON
G0022620010010,PROVINCE_STATION_INDEPENDENT
S0022410010010,PROVINCE_STATION_INDEPENDENT
G0006130020070,PROVINCE_STATION_INDEPENDENT
G0011210010010,PROVINCE_STATION_COMMON
G0070360190010,PROVINCE_STATION_COMMON
G0056360290040,PROVINCE_STATION_INDEPENDENT
G0002320010010,PROVINCE_STATION_COMMON
G0020140370010,PROVINCE_STATION_INDEPENDENT
G0006150010010,PROVINCE_STATION_INDEPENDENT
G9999459997010,PROVINCE_STATION_COMMON
G0056360230100,PROVINCE_STATION_INDEPENDENT
G1514360240010,PROVINCE_STATION_INDEPENDENT
G5512410060070,PROVINCE_STATION_INDEPENDENT
G0002120010010,PROVINCE_STATION_COMMON
G0015330110120,PROVINCE_STATION_INDEPENDENT
G0056330010010,PROVINCE_STATION_INDEPENDENT
