"ID","Name","Province","lng","lat"
"S2201450010030","桂林高新收费站","GUANG_XI","110.384462","25.207614"
"G1517350020010","明溪收费站","FU_JIAN","117.255192","26.325903"
"G0042500040090","云台收费站","CHONG_QING","107.235161","30.128453"
"G4215520010090","火石岗收费站","GUI_ZHOU","106.422971","28.073851"
"G0056520020010","温泉收费站","GUI_ZHOU","108.151972","28.050446"
"S0079520010020","青场收费站","GUI_ZHOU","105.042061","27.350479"
"G0045440010110","米埗收费站","GUANG_DONG","113.664847","23.694620"
"G04W3440011040","沙口收费站","GUANG_DONG","113.513314","24.423004"
"G0050500040060","复盛收费站","CHONG_QING","106.801845","29.642375"
"S0051440010010","围底收费站","GUANG_DONG","111.679641","22.704425"
"S0032110010130","南太务收费站","BEI_JING","117.198103","40.133690"
"S0032110010070","薛家庄收费站","BEI_JING","116.925282","40.063373"
"S0032110010040","沿河收费站","BEI_JING","116.708068","40.038805"
"S0011110030090","司马台收费站","BEI_JING","117.256390","40.634961"
"S0011110020060","中影杨宋收费站","BEI_JING","116.671749","40.273685"
"S0011110020050","怀柔收费站","BEI_JING","116.639525","40.278572"
"S0011110030020","辛安庄收费站","BEI_JING","116.968065","40.396674"
"G0045110010050","金华寺收费站","BEI_JING","116.345049","39.745193"
"G0006110010080","小汤山收费站","BEI_JING","116.259273","40.144427"
"G0004110010080","琉璃河收费站","BEI_JING","116.059474","39.597244"
"G0001110010050","郎府收费站","BEI_JING","116.845294","39.801001"
"G0055410070050","龙堰收费站","HE_NAN","112.098433","32.580046"
"G3001410010020","科学大道收费站","HE_NAN","113.458425","34.809181"
"G3001410010050","陇海西路收费站","HE_NAN","113.483224","34.726329"
"G0001210040010","沈阳西收费站","LIAO_NING","123.263289","41.798171"
"G0001210040040","茨榆坨收费站","LIAO_NING","122.851246","41.578910"
"G0001210040050","辽中收费站","LIAO_NING","122.742172","41.535350"
"G0001210060070","绥中收费站","LIAO_NING","120.317660","40.337895"
"G0011210010090","宽甸收费站","LIAO_NING","124.740400","40.736259"
"G0011210010060","青山沟收费站","LIAO_NING","125.105351","41.040020"
"G0011210020040","大孤山收费站","LIAO_NING","123.594073","39.931743"
"G0011210020080","庄河东收费站","LIAO_NING","122.957568","39.737302"
"G0011210040030","十里岗北收费站","LIAO_NING","121.760580","39.072004"
"G0015210010020","苏家屯南收费站","LIAO_NING","123.321053","41.627579"
"G0015210010070","辽阳县收费站","LIAO_NING","122.998170","41.229151"
"G0015210010110","汤岗子收费站","LIAO_NING","122.799811","41.043302"
"G0015210010130","海城收费站","LIAO_NING","122.669923","40.893123"
"G0016210050020","牌楼收费站","LIAO_NING","122.803289","40.751452"
"G0016210050080","洋河收费站","LIAO_NING","123.425731","40.059580"
"G1113210030020","雪莲街收费站","LIAO_NING","123.393411","41.710132"
"G1113210070060","五龙背收费站","LIAO_NING","124.231747","40.226342"
"G2512210010060","双羊收费站","LIAO_NING","121.288377","41.129291"
"S0002210020010","沈北新区收费站","LIAO_NING","123.534076","42.095287"
"G0006640010140","鸣沙收费站","NING_XIA","105.879762","37.544845"
"G1817640010010","银巴高速收费站","NING_XIA","105.966855","38.372333"
"G0015440050050","荷坳收费站","GUANG_DONG","114.217788","22.677056"
"G5512140760010","丹河收费站","SHAN_XI","112.995010","35.473129"
"G0045130020020","桃城收费站","HE_BEI","115.764442","37.755472"
"G1811130020060","武强收费站","HE_BEI","115.957596","38.024810"
"G0095130040020","高官庄收费站","HE_BEI","116.064240","39.398650"
"S0027330010030","方岩收费站","ZHE_JIANG","120.166433","28.945695"
"G0060330010020","嘉善收费站","ZHE_JIANG","120.951766","30.795663"
"G0060330020010","萧山东收费站","ZHE_JIANG","120.343627","30.175846"
"G0025330040150","梅岙收费站","ZHE_JIANG","120.573405","28.111685"
"G0025330020050","灵桥收费站","ZHE_JIANG","120.033118","30.017092"
"G0015330110050","塘下收费站","ZHE_JIANG","120.668547","27.849544"
"G0092330010070","绍兴收费站","ZHE_JIANG","120.612709","30.107445"
"G0025330030040","云和收费站","ZHE_JIANG","119.592685","28.100389"
"S0026330010040","街亭收费站","ZHE_JIANG","120.278188","29.626943"
"G0025330040170","娄桥收费站","ZHE_JIANG","120.595057","27.965931"
"G0025330030070","龙泉东收费站","ZHE_JIANG","119.191603","28.043442"
"G0001220010050","公主岭收费站","JI_LIN","124.837426","43.485222"
"G0011220010050","敦化西收费站","JI_LIN","128.155817","43.363480"
"G0012220010060","白城东收费站","JI_LIN","122.906185","45.603620"
"G0012220030030","龙嘉机场收费站","JI_LIN","125.656124","43.969331"
"G0025220010010","长春西收费站","JI_LIN","125.184954","43.933449"
"G0045220010030","松原东收费站","JI_LIN","124.894427","45.171271"
"S0014330020050","径山收费站","ZHE_JIANG","119.893360","30.391008"
"S0020330010050","穿山港区收费站","ZHE_JIANG","122.029051","29.866056"
"G1112220010050","三源浦收费站","JI_LIN","125.787478","42.036986"
"G1212220010060","永吉收费站","JI_LIN","126.418228","43.680598"
"S0010220010010","通化西收费站","JI_LIN","125.776995","41.675396"
"S0026220010020","伊通收费站","JI_LIN","125.328925","43.362064"
"S0026220020060","抚民收费站","JI_LIN","126.437608","42.480448"
"G0045420010040","铁门收费站","HU_BEI","114.926504","31.021299"
"G004E420010020","嘉鱼南收费站","HU_BEI","113.897245","29.846546"
"G004E420020030","通城南收费站","HU_BEI","113.777842","29.189707"
"G0050420010020","黄梅收费站","HU_BEI","115.917885","30.037366"
"G0050420010050","蕲春收费站","HU_BEI","115.352098","30.103247"
"G0050420030120","猇亭收费站","HU_BEI","111.463482","30.572470"
"G0050420030130","伍家岗收费站","HU_BEI","111.368529","30.652502"
"G0050420050030","高家堰收费站","HU_BEI","111.032220","30.579912"
"G0050420050040","贺家坪收费站","HU_BEI","110.856012","30.605622"
"G5012420010010","利川西收费站","HU_BEI","108.862627","30.281495"
"G0055420060010","荆州南收费站","HU_BEI","112.211593","30.268558"
"G0056420010070","通山收费站","HU_BEI","114.447723","29.641637"
"G0059420020030","房县收费站","HU_BEI","110.718933","32.069498"
"G0059420050020","白洋收费站","HU_BEI","111.534828","30.422866"
"S0033420010040","桂花收费站","HU_BEI","114.363359","29.741868"
"G5012500010010","开州收费站","CHONG_QING","108.397365","31.152723"
"S0101500050040","夏坝收费站","CHONG_QING","106.490097","29.091977"
"S0081520010050","李子垭收费站","GUI_ZHOU","106.957829","27.782667"
"S0002520010020","团泽收费站","GUI_ZHOU","107.077332","27.785573"
"G0060520060100","刘官收费站","GUI_ZHOU","104.669120","25.818323"
"G0075520020020","马家湾收费站","GUI_ZHOU","106.862675","27.579009"
"G0075520020040","三合收费站","GUI_ZHOU","106.772866","27.418961"
"G0078520010040","兴义东收费站","GUI_ZHOU","104.931811","25.141900"
"S0025520020080","羊场收费站","GUI_ZHOU","108.290040","27.211468"
"S0062520020020","青曼收费站","GUI_ZHOU","107.873301","26.443621"
"G0056520040090","六盘水南收费站","GUI_ZHOU","104.909155","26.532564"
"G7612520010020","大厂收费站","GUI_ZHOU","105.099249","25.612630"
"G0056520040010","朱昌收费站","GUI_ZHOU","105.316028","27.183561"
"G0060520060030","关岭收费站","GUI_ZHOU","105.594594","25.935123"
"G0075520020060","小寨坝收费站","GUI_ZHOU","106.733801","27.183136"
"G0069520060050","罗甸收费站","GUI_ZHOU","106.728596","25.416601"
"G0020140370040","寿阳收费站","SHAN_XI","113.171101","37.877048"
"G0612630010010","曹家堡西收费站","QING_HAI","102.030579","36.525124"
"S0027150010100","宝昌北收费站","NEI_MENG_GU","115.287249","41.929370"
"G0015440030090","海门收费站","GUANG_DONG","116.627432","23.209740"
"G0094440030030","杜阮收费站","GUANG_DONG","113.001646","22.592037"
"G04W3440011020","乌石收费站","GUANG_DONG","113.586314","24.603495"
"G0075620040080","余家湾收费站","GAN_SU","105.419499","32.773408"
"G1816620010040","临夏收费站","GAN_SU","103.233295","35.560511"
"G1816620020020","王格尔塘收费站","GAN_SU","102.817639","35.218747"
"G7011620010020","徽县收费站","GAN_SU","106.012245","33.747160"
"G0030410030070","西三环北收费站","HE_NAN","113.589905","34.839065"
"G0001210050030","锦州东收费站","LIAO_NING","121.215574","41.035954"
"G0091210030010","公主屯收费站","LIAO_NING","123.027986","42.137772"
"G0010150020010","牙克石西收费站","NEI_MENG_GU","120.618109","49.279624"
"S0040150010010","哈克西收费站","NEI_MENG_GU","119.958372","49.201994"
"G04W2440010010","凤头岭收费站","GUANG_DONG","112.689041","25.050662"
"G0094440030010","龙湾收费站","GUANG_DONG","113.060780","22.564086"
"G0094440060020","梅林收费站","GUANG_DONG","115.608184","23.643705"
"G0025440070050","新墟收费站","GUANG_DONG","111.450100","21.675179"
"G0094440080020","石头收费站","GUANG_DONG","113.772623","23.182283"
"G04W2440010070","水足塘收费站","GUANG_DONG","112.379363","24.622716"
"G04W3440011010","白土收费站","GUANG_DONG","112.579077","23.027923"
"S0005440020030","罗格收费站","GUANG_DONG","113.011973","22.991334"
"G0007620010030","马鬃山南收费站","GAN_SU","97.061472","41.855837"
"G0076350010010","海沧收费站","FU_JIAN","117.924457","24.544982"
"S1516350010010","厦漳大桥收费站","FU_JIAN","117.966353","24.411476"
"G0003350010100","徐墩收费站","FU_JIAN","118.194027","27.172345"
"S1516350010030","海门岛收费站","FU_JIAN","117.964925","24.407613"
"G4012350010020","寿宁犀溪收费站","FU_JIAN","119.646404","27.464850"
"G1502350030050","惠东收费站","FU_JIAN","118.908187","24.969405"
"G0091210020030","新民收费站","LIAO_NING","122.861660","41.954354"
"G2511210010020","章古台收费站","LIAO_NING","122.509425","42.708299"
