statName交易,statName地图,经度差,纬度差,provName
兴赣路兴国南,,,,jiangxi
修平路修水西,,,,jiangxi
高寨匝道,,,,qinghai
横栏,横栏收费站,0.000124,0.003256,guangdong
广花,,,,guangdong
机场北,,,,guangdong
灌南东,灌南东收费站,0.006694,0.005757,jiangsu
毛田,,,,hunan
云南罗平,,,,yunnan
清溪湖,,,,guangdong
机场南,,,,guangdong
廉江东,,,,guangdong
石鼓,,,,guangdong
前詹,,,,guangdong
余庆,余庆收费站,,,guizhou
榕江,榕江收费站,,,guizhou
从江北,从江北收费站,,,guizhou
锦屏,锦屏收费站,,,guizhou
黄平纸房,,,,guizhou
岗乌,岗乌收费站,,,guizhou
久长,久长收费站,,,guizhou
习水,习水收费站,,,guizhou
东门桥,东门桥收费站,,,guizhou
江口,江口收费站,,,guizhou
梵净山西,梵净山西收费站,,,guizhou
思南东,思南东收费站,,,guizhou
魏旗,魏旗收费站,,,guizhou
洗马,,,,guizhou
达濠,达濠收费站,0.004636,0.002725,guangdong
四会西,四会西收费站,0.066568,0.072277,guangdong
东莞南,,,,guangdong
金门,金门收费站,0.005773,0.002499,guangdong
沙坡,,,,guangdong
机场北,,,,guangdong
棉洋,,,,guangdong
阳春南,阳春南收费站,,,guangdong
睢县东,,,,henan
尉氏西,,,,henan
皖苏郎溪,,,,anhui
成绵复彭州,,,,sichuan
乐自舒坪,,,,sichuan
大个岭,,,,heilongjiang
海林,海林收费站,0.006576,0.005705,heilongjiang
牡丹江南,牡丹江南收费站,0.00032,0.001848,heilongjiang
四马架,,,,heilongjiang
磨刀石,磨刀石收费站,0.27255,0.04199,heilongjiang
京福苏鲁省界,,,,jiangsu
海头,海头收费站,0.006408,0.006121,jiangsu
芜湖长江大桥,芜湖长江大桥收费站,0.02654,0.00047,anhui
曹家,,,,chongqing
沙县,沙县收费站,,,fujian
延平赤门,,,,fujian
仙游盖尾,仙游盖尾收费站,,,fujian
莆田华亭,莆田华亭收费站,,,fujian
福安,福安收费站,,,fujian
建宁里心,,,,fujian
永汉　,,,,guangdong
神龙2,,,,guangdong
安岳,安岳收费站,,,sichuan
乐雅苏稽,,,,sichuan
巴达兴文,,,,sichuan
巴桃南江南,,,,sichuan
齐心庄,,,,hebei
临漳,临漳收费站,0.008621,0.012456,hebei
大城,大城收费站,0.006515,0.006103,hebei
牛驼,牛驼收费站,0.005941,0.000557,hebei
唐山东,唐山东收费站,0.006579,0.006431,hebei
党峪,党峪收费站,0.004733,0.005241,hebei
抚宁南,抚宁南收费站,0.00566,0.005563,hebei
清东陵主线,,,,hebei
黄帝城,黄帝城收费站,0.006013,0.001067,hebei
南宫,南宫收费站,0.00606,0.000695,hebei
东城,东城收费站,0.007458,0.001928,hebei
蔚县东匝道,,,,hebei
古佛,古佛收费站,0.0018,0.002423,chongqing
河间北,河间北收费站,0.006268,0.000553,hebei
双堡,,,,guizhou
杨武,,,,guizhou
孝庄园,,,,neimenggu
巴林桥,,,,neimenggu
赤峰南交接,,,,neimenggu
扎赉特,,,,neimenggu
外海A,,,,guangdong
桃花坪,,,,gansu
下四分,,,,gansu
宜叙石海,,,,sichuan
叙古古蔺东,,,,sichuan
简蒲黑龙滩,,,,sichuan
211太阳山,,,,ningxia
南康,南康收费站,0.004361,0.002681,guangxi
隆林,隆林收费站,0.01192,0.007278,guangxi
太阳村,太阳村收费站,0.003818,0.004376,guangxi
上林,,,,guangxi
古零,,,,guangxi
龙门,,,,guangxi
桂林高新,桂林高新收费站,0.004615,0.00293,guangxi
万安,万安收费站,,,fujian
码头,码头收费站,,,fujian
明溪,明溪收费站,,,fujian
云台,云台收费站,0.009815,0.000001,chongqing
火石岗,火石岗收费站,,,guizhou
温泉,温泉收费站,,,guizhou
青场,,,,guizhou
成自泸新场,,,,sichuan
达渝四川,,,,sichuan
成自泸威远西,,,,sichuan
临江,临江收费站,,,fujian
成自泸文宫,,,,sichuan
成德南八角,,,,sichuan
广甘青川,,,,sichuan
成自泸四川,,,,sichuan
米埗,,,,guangdong
沙口,沙口收费站,0.005406,0.002881,guangdong
复盛,复盛收费站,0.002882,0.002897,chongqing
桃花街,,,,chongqing
秦棋,,,,guizhou
围底,,,,guangdong
南太务,南太务收费站,0.006102,0.001392,beijing
薛家庄,薛家庄收费站,0.001624,0.001376,beijing
沿河,沿河收费站,0.006093,0.001244,beijing
司马台,司马台收费站,0.019733,0.051844,beijing
中影杨宋,中影杨宋收费站,0.005937,0.001169,beijing
怀柔,怀柔收费站,0.003197,0.006916,beijing
辛安庄,辛安庄收费站,0.006323,0.000999,beijing
肖庄,,,,beijing
金华寺,金华寺收费站,0.00601,0.00139,beijing
小汤山,小汤山收费站,0.005972,0.001175,beijing
琉璃河,琉璃河收费站,0.008065,0.003967,beijing
郎府,郎府收费站,0.00603,0.001486,beijing
龙堰,龙堰收费站,,,henan
科学大道,科学大道收费站,,,henan
陇海西路,陇海西路收费站,,,henan
沈阳西,沈阳西收费站,0.005666,0.002772,liaoning
茨榆坨,茨榆坨收费站,0.005425,0.002225,liaoning
辽中,辽中收费站,0.005443,0.002108,liaoning
绥中,绥中收费站,0.005407,0.001512,liaoning
宽甸,宽甸收费站,0.005663,0.001563,liaoning
青山沟,青山沟收费站,0.006227,0.002013,liaoning
大孤山,大孤山收费站,0.005755,0.001363,liaoning
庄河东,庄河东收费站,0.00498,0.001188,liaoning
十里岗北,十里岗北收费站,0.005238,0.001053,liaoning
苏家屯南,苏家屯南收费站,0.008323,0.00338,liaoning
辽阳县,辽阳县收费站,0.005515,0.002122,liaoning
汤岗子,,,,liaoning
海城,海城收费站,0.005052,0.001715,liaoning
牌楼,牌楼收费站,0.005297,0.001385,liaoning
洋河,洋河收费站,0.005762,0.001592,liaoning
雪莲街,雪莲街收费站,0.00623,0.002675,liaoning
五龙背,五龙背收费站,0.005757,0.001687,liaoning
双羊,双羊收费站,0.005432,0.002003,liaoning
沈北新区,沈北新区收费站,0.005753,0.002112,liaoning
金家,金家收费站,0.006025,0.00185,liaoning
成自泸仁寿,,,,sichuan
成渝球溪东,,,,sichuan
广巴白水,,,,sichuan
资眉洪雅,,,,sichuan
鸣沙,鸣沙收费站,,,ningxia
银巴高速,银巴高速收费站,,,ningxia
荷坳,荷坳收费站,0.01457,0.009306,guangdong
万家主线,,,,hebei
丹河,丹河收费站,0.006548,0.000136,shanxi
成温邛金马,,,,sichuan
桃城,桃城收费站,0.003937,0.003127,hebei
武强,武强收费站,0.004936,0.001461,hebei
高官庄,高官庄收费站,0.007199,0.001152,hebei
方岩,方岩收费站,0.000038,0.000122,zhejiang
嘉善,嘉善收费站,0.004107,0.002575,zhejiang
萧山东,萧山东收费站,0.010233,0.00071,zhejiang
窑上,,,,zhejiang
梅岙,梅岙收费站,0.0065,0.006082,zhejiang
临海白水洋,,,,zhejiang
灵桥,灵桥收费站,0.000132,0.000008,zhejiang
塘下,塘下收费站,0.006571,0.005737,zhejiang
父子岭,,,,zhejiang
绍兴,绍兴收费站,0.00373,0.002487,zhejiang
云和,云和收费站,0.006478,0.005711,zhejiang
新桥,,,,zhejiang
街亭,街亭收费站,0.006713,0.00569,zhejiang
娄桥,娄桥收费站,0.006419,0.006355,zhejiang
龙泉东(塔石),,,,zhejiang
公主岭,公主岭收费站,81.341851,81.353156,jilin
敦化西,,,,jilin
白城东,白城东收费站,77.295523,77.309899,jilin
龙嘉机场,龙嘉机场收费站,81.679626,81.700979,jilin
