statName交易,statName地图,经度差,纬度差,provName
小屯,小屯收费站,0.00614,0.006113,liaoning
辽中南,辽中南收费站,0.005255,0.002257,liaoning
刘家河,刘家河收费站,0.005643,0.001238,liaoning
抚顺东,抚顺东收费站,0.005701,0.002412,liaoning
西丰,西丰收费站,0.0044,0.001186,liaoning
长岭,长岭收费站,0.005148,0.001412,liaoning
孟姜匝道,,,,liaoning
成雅成佳,,,,sichuan
广元大石,,,,sichuan
宜叙兴文,,,,sichuan
成灌,成灌收费站,,,sichuan
达渝刘家坝,,,,sichuan
广南南江,,,,sichuan
川北广元,,,,sichuan
巴达水宁寺,,,,sichuan
高沙窝西,,,,ningxia
灵寿,灵寿收费站,0.004346,0.000354,hebei
狼牙山,,,,hebei
蔚县南匝道,,,,hebei
G15车亭公路,,,,shanghai
梨温路弋阳,,,,jiangxi
瑞赣路赣县东,,,,jiangxi
赣崇路唐江,,,,jiangxi
温沙路罗针,,,,jiangxi
武吉路天宝,,,,jiangxi
德上路三清山西,,,,jiangxi
天水镇,天水镇收费站,0.00399,0.001427,gansu
皋兰,皋兰收费站,0.001813,0.000407,gansu
永城北,,,,henan
宣化,宣化收费站,,,henan
阜阳东,阜阳东收费站,0.009211,0.009899,anhui
芜湖主线,,,,anhui
高刘,高刘收费站,0.008214,0.027073,anhui
G56徽州,,,,anhui
铜陵,铜陵收费站,0.22552,0.27504,anhui
皖赣花园,皖赣花园收费站,0.18511,0.37738,anhui
黄山北门,,,,anhui
凤阳,凤阳收费站,0.201484,0.093536,anhui
利辛东,,,,anhui
广邻邻水,,,,sichuan
贾塘,,,,ningxia
水汶,水汶收费站,0.011176,0.020935,guangxi
蒋坊,,,,hunan
前进,前进收费站,6.50285,0.69672,heilongjiang
杏山,杏山收费站,0.05553,0.02634,heilongjiang
永利,永利收费站,0.006559,0.001602,heilongjiang
锦山,锦山收费站,0.008492,0.001862,heilongjiang
常安,常安收费站,0.384479,0.024758,heilongjiang
会发,会发收费站,0.000649,0.00178,heilongjiang
温家窑,温家窑收费站,0.00644,0.0021,heilongjiang
兴农,兴农收费站,0.000044,0.000067,heilongjiang
普立,,,,yunnan
安丰营,安丰营收费站,0.003291,1.005741,yunnan
景洪,景洪收费站,0.0022,0.006601,yunnan
田坝,,,,yunnan
大板桥,,,,yunnan
野象谷北,野象谷北收费站,0.001247,0.002768,yunnan
关坪,关坪收费站,0.002321,0.006137,yunnan
以且,,,,yunnan
仁兴,,,,yunnan
孟姜,孟姜收费站,0.004964,0.006839,hebei
故城主线,,,,hebei
下花园西,下花园西收费站,0.006622,0.001989,hebei
石清路,石清路收费站,0.006623,0.000915,hebei
万家匝道,,,,hebei
香河主线,,,,hebei
雅康多功,,,,sichuan
无为,,,,anhui
隧华朝阳,,,,guangdong
长沙湾,长沙湾收费站,0.004742,0.002782,guangdong
苏十顷,,,,guangdong
官田东,,,,guangdong
莆田忠门,莆田忠门收费站,,,fujian
兰圃,兰圃收费站,,,fujian
扶沟西,,,,henan
周口刘园,,,,henan
简蒲大化,,,,sichuan
成渝石桥,,,,sichuan
朝阳,朝阳收费站,0.005774,0.002171,heilongjiang
柴河,柴河收费站,0.000077,0.000067,heilongjiang
杨梓冲,杨梓冲收费站,,,hunan
湘西北,,,,hunan
红岩溪,,,,hunan
金凤桥,,,,hunan
伞铺,伞铺收费站,,,hunan
南岛河,南岛河收费站,0.002542,0.005736,yunnan
八宝,八宝收费站,0.006998,0.004994,yunnan
遮相,遮相收费站,0.00102,0.005287,yunnan
平年,,,,yunnan
临济,,,,sichuan
中心团场,中心团场收费站,,,xinjiang
德令哈西,德令哈西收费站,,,qinghai
华快新洲,,,,guangdong
清湖,清湖收费站,0.007222,0.007844,guangdong
小梅沙,小梅沙收费站,0.002561,0.003769,guangdong
华快广汕,,,,guangdong
坦洲,坦洲收费站,0.005377,0.002633,guangdong
腊圃,,,,guangdong
洪湾开放,,,,guangdong
双岗,,,,guangdong
怀集西,怀集西收费站,0.005548,0.003008,guangdong
刘新集,,,,hubei
浮桥北,浮桥北收费站,0.00656,0.004969,jiangsu
浚县,浚县收费站,,,henan
慈周寨,慈周寨收费站,,,henan
开封杜良,,,,henan
禹州北,禹州北收费站,,,henan
包头东,包头东收费站,,,neimenggu
固原北,,,,ningxia
锁石,,,,hunan
岐山,,,,hunan
枫林市,枫林市收费站,,,hunan
车江,车江收费站,,,hunan
中村,中村收费站,,,hunan
常德东,,,,hunan
大水,大水收费站,,,hunan
A,,,,guangxi
金宝屯,,,,neimenggu
布敦花,,,,neimenggu
秋枫,,,,guangdong
奉节,奉节收费站,0.006719,0.005619,chongqing
南川,南川收费站,0.00454,0.00285,chongqing
巴彦塔拉,巴彦塔拉收费站,,,neimenggu
灵宝西,灵宝西收费站,,,henan
广邻邻水西,,,,sichuan
川北剑门关,,,,sichuan
涿州北,,,,hebei
富锦,富锦收费站,0.00793,0.002203,heilongjiang
仁沐新井研,,,,sichuan
马武,马武收费站,0.000251,0.00014,chongqing
大田上京,,,,fujian
洪田,洪田收费站,,,fujian
阎良,,,,shaanxi
洋县,,,,shaanxi
澄城,,,,shaanxi
杨凌,,,,shaanxi
商洛东,,,,shaanxi
巴山,,,,shaanxi
咸阳东,,,,shaanxi
茂陵,,,,shaanxi
渡马,,,,shaanxi
零口,,,,shaanxi
旬阳,,,,shaanxi
南梁利溪,,,,sichuan
遂广遂宁金桥,,,,sichuan
巴广渝花桥,,,,sichuan
金鸡,金鸡收费站,,,hunan
陕西南郑,,,,shaanxi
铜梁东,铜梁东收费站,0.003884,0.002614,chongqing
潼南,潼南收费站,0.003647,0.002735,chongqing
二龙关主线,,,,guizhou
水箐,,,,guizhou
尤溪西城,,,,fujian
滑县,滑县收费站,,,henan
叶县南,叶县南收费站,,,henan
鄢陵彭店,,,,henan
采石矶,采石矶收费站,0.199289,0.247839,anhui
周集,,,,anhui
马店,,,,anhui
文登,文登收费站,,,shandong
满庄,满庄收费站,,,shandong
菏泽,菏泽收费站,,,shandong
臧家庄,臧家庄收费站,,,shandong
大王,大王收费站,,,shandong
行村,行村收费站,,,shandong
潍坊北,潍坊北收费站,,,shandong
乳山北,乳山北收费站,,,shandong
济宁经开区,,,,shandong
济宁机场,,,,shandong
黄岛东,,,,shandong
仵楼,,,,shandong
东光,东光收费站,0.005812,0.001336,hebei
大理岩,,,,hebei
三河西,,,,hebei
承德机场,,,,hebei
青龙,青龙收费站,0.007231,0.007221,hebei
邯郸西,邯郸西收费站,0.16026,0.26521,hebei
杨树岭,杨树岭收费站,0.006066,0.001604,hebei
深州,深州收费站,0.006074,0.000645,hebei
黄骅东,黄骅东收费站,0.006268,0.001229,hebei
九连城主线,九连城主线收费站,0.006212,0.001776,hebei
坂上,坂上收费站,0.004119,0.00043,hebei
旧州,旧州收费站,0.003297,0.002899,guangxi
藤县,藤县收费站,0.004772,0.002912,guangxi
桂林北,桂林北收费站,0.004737,0.002683,guangxi
防城,防城收费站,0.003963,0.003283,guangxi
张黄,,,,guangxi
池尾,池尾收费站,0.000526,0.000093,guangdong
青平,,,,guangdong
粤西出,,,,guangdong
平冈,平冈收费站,0.004532,0.002763,guangdong
白云新区,,,,guizhou
蓬江,,,,guangdong
西华北,,,,henan
信都,信都收费站,0.00539,0.002648,guangxi
象州,象州收费站,0.074511,0.039495,guangxi
武岭,武岭收费站,0.005148,0.002552,guangxi
宜州西,宜州西收费站,0.003927,0.003335,guangxi
玉林东,玉林东收费站,0.005384,0.001253,guangxi
阳朔白沙,阳朔白沙收费站,0.004162,0.002159,guangxi
沙井,沙井收费站,0.003984,0.002925,guangxi
平果北,,,,guangxi
永川,永川收费站,0.000022,0.00003,chongqing
沙井北,,,,guangdong
沙贝,,,,guangdong
华快广园,,,,guangdong
小塘,小塘收费站,0.04581,2.222197,guangdong
神龙1,,,,guangdong
梅岭,梅岭收费站,0.005103,0.002648,guangdong
石坝北,,,,guangdong
公庄　,,,,guangdong
龙华　,,,,guangdong
重阳,重阳收费站,0.005451,0.002557,guangdong
寺弯,,,,henan
自隆富顺,,,,sichuan
兴安城南,,,,guangxi
六寨,六寨收费站,0.005275,0.001292,guangxi
钦州西,,,,guangxi
桂海,,,,guangxi
道帏匝道,,,,qinghai
藁城西,藁城西收费站,0.000227,0.000138,hebei
文安,文安收费站,0.006237,0.006636,hebei
西地,西地收费站,0.005705,0.002164,hebei
青坨营,青坨营收费站,0.006701,0.006563,hebei
黄粱梦,黄粱梦收费站,0.008272,0.001917,hebei
鹿泉,鹿泉收费站,0.001938,0.00143,hebei
常屯,常屯收费站,0.133375,0.176917,hebei
化稍营,化稍营收费站,0.005899,0.001245,hebei
大武西匝道,,,,qinghai
G205天长,,,,anhui
金塘,,,,guangdong
大羊坊,大羊坊收费站,0.041952,0.032618,beijing
三匝,,,,beijing
吴各庄,吴各庄收费站,0.005545,0.001109,beijing
大城子,大城子收费站,0.007811,0.001919,beijing
密云经济技术,,,,beijing
十三陵,十三陵收费站,0.006169,0.001278,beijing
康庄,康庄收费站,0.005785,0.000912,beijing
良乡机场路,,,,beijing
魏善庄,,,,beijing
青龙湖主,,,,beijing
顺义城,顺义城收费站,0.005811,0.001072,beijing
东厅,东厅收费站,,,shandong
莱州港,莱州港收费站,,,shandong
高青,高青收费站,,,shandong
范镇,范镇收费站,,,shandong
平阴南,平阴南收费站,,,shandong
铁岭,铁岭收费站,0.006122,0.002502,liaoning
金银湖,金银湖收费站,,,sichuan
隆纳泸县,,,,sichuan
隆纳胡市,,,,sichuan
成南淮口,,,,sichuan
永宁,永宁收费站,,,ningxia
衡水东,,,,hebei
高村,,,,tianjin
上仓,上仓收费站,,,tianjin
宝坻,宝坻收费站,,,tianjin
石各庄,石各庄收费站,,,tianjin
霞客,霞客收费站,0.006331,0.006344,jiangsu
春江,春江收费站,0.006308,0.005994,jiangsu
龙陵,,,,yunnan
昭通南,,,,yunnan
广元上西坝,,,,sichuan
成德南金堂,,,,sichuan
成绵复金山,,,,sichuan
仁化,,,,guangdong
富阳,,,,guangxi
广陕朝天,,,,sichuan
宜叙双河,,,,sichuan
成雅寿安,,,,sichuan
成乐夹江,,,,sichuan
百步,百步收费站,0.006378,0.005954,zhejiang
霞浦,霞浦收费站,0.355725,0.349911,zhejiang
牟山,牟山收费站,0.003955,0.007205,zhejiang
丽水,丽水收费站,0.006489,0.006088,zhejiang
兴隆山,,,,jilin
官地,,,,jilin
露水河,,,,jilin
白城北,白城北收费站,77.199711,77.096801,jilin
舍力,舍力收费站,77.785331,77.791205,jilin
长春东,长春东收费站,81.553286,81.566343,jilin
凉水,凉水收费站,87.011921,87.010526,jilin
双辽北,双辽北收费站,79.891105,79.899537,jilin
红旗,红旗收费站,5.99191,2.485208,jilin
西明嘎主线,,,,jilin
坦途,,,,jilin
靖宇,靖宇收费站,84.366045,84.376506,jilin
宝丰,宝丰收费站,,,hubei
竹溪,竹溪收费站,,,hubei
鄂豫,,,,hubei
监利,监利收费站,,,hubei
花桥,花桥收费站,,,hubei
鄂州,鄂州收费站,,,hubei
排湖,,,,hubei
河铺,,,,hubei
浠水,,,,hubei
巴音托海匝道,,,,xinjiang
克南,,,,xinjiang
民国场,民国场收费站,0.000189,0.00012,chongqing
二郎,二郎收费站,,,guizhou
官亭主线,,,,qinghai
成渝简阳,,,,sichuan
定远,定远收费站,0.000153,0.00396,gansu
杞县,,,,henan
田庄,田庄收费站,1.778098,2.638579,shandong
广南流马,,,,sichuan
内遂安居,,,,sichuan
涞源东,涞源东收费站,0.00174,0.002577,hebei
保北,,,,hebei
景州主线,景州主线收费站,0.286614,0.508401,hebei
保阜高速阜平西,,,,hebei
平乡,平乡收费站,0.004627,0.000538,hebei
玉湖,玉湖收费站,0.006457,0.005962,guangdong
六工段,六工段收费站,0.21739,0.14241,zhejiang
永康东,永康东收费站,0.000111,0.000123,zhejiang
王店,王店收费站,0.00408,0.002365,zhejiang
七都,,,,zhejiang
银岭关主线,,,,zhejiang
富春江,富春江收费站,0.000129,0.000092,zhejiang
陈宅,陈宅收费站,0.006486,0.006247,zhejiang
神仙居,神仙居收费站,0.006348,0.006084,zhejiang
上虞付,,,,zhejiang
古庙,古庙收费站,0.006708,0.005615,zhejiang
花坦,花坦收费站,0.006178,0.005843,zhejiang
东钱湖,东钱湖收费站,0.00319,0.00222,zhejiang
永嘉南,永嘉南收费站,0.003957,0.003376,zhejiang
青木关,青木关收费站,0.000786,0.001204,chongqing
梨温路进贤,,,,jiangxi
赣崇路文英,,,,jiangxi
赣定路信丰,,,,jiangxi
乐温路幽兰,,,,jiangxi
昌西环路望城,,,,jiangxi
贡宝拉格,贡宝拉格收费站,,,neimenggu
土桥,土桥收费站,1.090489,7.561586,hunan
清水河界,,,,neimenggu
察素齐,察素齐收费站,,,neimenggu
乌兰哈达,乌兰哈达收费站,,,neimenggu
托县,,,,neimenggu
云山,云山收费站,,,shandong
邹平,邹平收费站,,,shandong
潍坊东,潍坊东收费站,,,shandong
达渝石河,,,,sichuan
达万开江,,,,sichuan
廉桥,廉桥收费站,,,hunan
杨山,,,,hunan
太子庙,太子庙收费站,,,hunan
仙人市,仙人市收费站,,,hunan
团头,团头收费站,,,hunan
茶庵铺,茶庵铺收费站,,,hunan
岳阳东,岳阳东收费站,,,hunan
南靖,,,,guangdong
嘉丽泽,,,,yunnan
罗平北,,,,yunnan
黄阁,,,,guangdong
清河农场,清河农场收费站,,,tianjin
西区,,,,tianjin
双街,双街收费站,,,tianjin
淮安,淮安收费站,0.00633,0.006244,jiangsu
阳澄湖,阳澄湖收费站,0.003299,0.001614,jiangsu
徐州北,徐州北收费站,0.0002,0.000091,jiangsu
汾湖,汾湖收费站,0.006644,0.005936,jiangsu
畹町,畹町收费站,0.000555,0.006054,yunnan
薄竹,,,,yunnan
泸渝合江,,,,sichuan
三甲,,,,guangdong
G1501重固公路,,,,shanghai
G50嘉松中路,,,,shanghai
G1501沪太公路,,,,shanghai
合川,合川收费站,0.01184,0.001414,chongqing
但渡,但渡收费站,0.00474,0.001729,chongqing
施家梁,施家梁收费站,0.000041,0.000082,chongqing
北碚南,北碚南收费站,0.003923,0.000673,chongqing
东梁,东梁收费站,0.007075,0.000885,shanxi
黄道川,黄道川收费站,0.00617,0.00093,shanxi
灵丘,,,,shanxi
平型关,平型关收费站,0.007919,0.003879,shanxi
河津西,河津西收费站,0.00557,0.00043,shanxi
龙门大桥,,,,shanxi
蒲掌,,,,shanxi
三星,,,,shaanxi
中角,,,,shaanxi
太乙宫,,,,shaanxi
河西堡,河西堡收费站,0.001541,0.000447,gansu
双塔,双塔收费站,0.002476,0.000652,gansu
树屏,树屏收费站,0.002142,0.000239,gansu
傅家窑,,,,gansu
机场南出口,,,,henan
渑池,渑池收费站,,,henan
皖豫临泉,皖豫临泉收费站,0.006392,0.005789,anhui
宿州南,宿州南收费站,0.000083,0.000022,anhui
皖鄂主线,,,,anhui
望江北,,,,anhui
砀山,,,,anhui
滁州东,,,,anhui
太白,太白收费站,0.215787,0.196514,anhui
大别山东,大别山东收费站,0.000008,0.000002,anhui
长集,长集收费站,0.000008,0.00001,anhui
长岭关,长岭关收费站,1.006542,1.005933,anhui
禹城南,禹城南收费站,,,shandong
菏泽新区,菏泽新区收费站,,,shandong
聊城,聊城收费站,,,shandong
日照北,日照北收费站,,,shandong
兖州,兖州收费站,,,shandong
杜家疃,杜家疃收费站,,,shandong
蓬莱西,蓬莱西收费站,,,shandong
宁津,宁津收费站,,,shandong
德州北,,,,shandong
G65渝北,,,,chongqing
三岔,三岔收费站,0.000155,0.000076,shanxi
乡宁,乡宁收费站,0.005677,0.000159,shanxi
夏县,夏县收费站,0.00598,0.00025,shanxi
龙杨路全南,,,,jiangxi
梨温路鹰潭东,,,,jiangxi
木里图交接,,,,neimenggu
王爷府,王爷府收费站,,,neimenggu
查巴奇,查巴奇收费站,,,neimenggu
牙克石南,牙克石南收费站,,,neimenggu
哈克,哈克收费站,,,neimenggu
海拉尔北,海拉尔北收费站,,,neimenggu
保阜高速保定西,,,,hebei
马山,马山收费站,0.004128,0.00268,guangxi
总寨,总寨收费站,0.000957,0.00078,gansu
大广光山,,,,henan
白马寺,白马寺收费站,,,henan
新乐,新乐收费站,1.320569,1.150094,hebei
玉洞西,,,,guangxi
龙胜,,,,guangxi
界首,界首收费站,4.670387,7.577836,guangxi
富海,,,,heilongjiang
芦台,芦台收费站,,,tianjin
东丽,东丽收费站,,,tianjin
上仓东,上仓东收费站,,,tianjin
把边,把边收费站,0.000989,0.000691,yunnan
锦界北,,,,shaanxi
涧河,,,,hebei
白仓,白仓收费站,,,hunan
者腊,者腊收费站,0.004833,0.005053,yunnan
石龙坝,,,,yunnan
营盘,,,,shaanxi
葫芦素,,,,shaanxi
莲花,,,,chongqing
西河河,,,,shanxi
毛皂,毛皂收费站,0.005348,0.000432,shanxi
汤头,汤头收费站,0.014574,0.001714,shanxi
闻喜,闻喜收费站,0.00612,0.000281,shanxi
永济西,永济西收费站,0.005549,0.00076,shanxi
圣天湖,,,,shanxi
景婺黄路婺源北,,,,jiangxi
昌金路芦溪,,,,jiangxi
道老杜,,,,neimenggu
撒力巴,,,,neimenggu
同乐二,,,,guangdong
潭西,,,,guangdong
淡水,淡水收费站,0.005031,0.002451,guangdong
后门,,,,guangdong
灯塔,灯塔收费站,0.00467,0.002833,guangdong
四会,四会收费站,0.005329,0.002618,guangdong
路溪　,,,,guangdong
良口,,,,guangdong
郑州新区,郑州新区收费站,,,henan
沪陕豫皖界,,,,henan
超化寺,,,,henan
滕州南,滕州南收费站,,,shandong
高唐,高唐收费站,,,shandong
夏津,夏津收费站,,,shandong
章丘,章丘收费站,,,shandong
兰陵,兰陵收费站,,,shandong
晏城,晏城收费站,,,shandong
大高,大高收费站,,,shandong
莱芜南,莱芜南收费站,,,shandong
孤岛,孤岛收费站,,,shandong
青兰杨庄,,,,shandong
下营,下营收费站,,,shandong
庆云,庆云收费站,,,shandong
张舍,张舍收费站,,,shandong
桥头河,桥头河收费站,,,hunan
峨山,峨山收费站,0.003043,0.005335,yunnan
三营,三营收费站,,,ningxia
青兰,青兰收费站,0.426402,0.222548,hebei
象州北,,,,guangxi
佗城,,,,guangdong
意溪,,,,guangdong
G50西岑,,,,shanghai
S32三鲁公路,,,,shanghai
G40陈海,,,,shanghai
塔城,,,,xinjiang
泰井路拿山,,,,jiangxi
夏村,夏村收费站,0.006293,0.001426,beijing
天北路,天北路收费站,0.005985,0.001243,beijing
北清,,,,beijing
密云,密云收费站,0.005903,0.001327,beijing
良乡,良乡收费站,0.006188,0.00153,beijing
念坛,念坛收费站,0.005963,0.0014,beijing
京哈入口,,,,beijing
薛营桥,,,,beijing
西红门,西红门收费站,0.005937,0.001208,beijing
回龙观,回龙观收费站,0.007299,0.000193,beijing
鸳鸯,鸳鸯收费站,0.003016,0.00082,gansu
泰宁寨下,,,,fujian
尤溪坂面,,,,fujian
闽侯大湖,,,,fujian
南安石井,南安石井收费站,,,fujian
富岭,富岭收费站,,,fujian
日兰豫鲁界,,,,henan
轩辕故里,轩辕故里收费站,,,henan
淄博,淄博收费站,,,shandong
栖霞南,栖霞南收费站,,,shandong
滨州南,滨州南收费站,,,shandong
鲁北,,,,shandong
山亭南,山亭南收费站,,,shandong
德州东,德州东收费站,,,shandong
临朐南,临朐南收费站,,,shandong
沂水,沂水收费站,,,shandong
保阜高速唐县,,,,hebei
苏圩,苏圩收费站,0.004172,0.00265,guangxi
潭头,,,,guangxi
潞城,潞城收费站,0.003522,0.002807,guangxi
百务,百务收费站,0.003171,0.002979,guangxi
桂平,桂平收费站,0.004381,0.00293,guangxi
那坡,那坡收费站,0.988966,0.351968,guangxi
五通,,,,guangxi
扬州泰州机场,扬州泰州机场收费站,0.006659,0.005668,jiangsu
高港,高港收费站,0.001062,0.002199,jiangsu
常熟,常熟收费站,0.00648,0.006285,jiangsu
大荆,大荆收费站,,,hunan
莞龙,,,,guangdong
二龙,,,,guangdong
埔田,埔田收费站,0.009242,0.007324,guangdong
两塘,,,,guangdong
凤岗标识,,,,guangdong
河婆,,,,guangdong
布澜,布澜收费站,0.006241,0.006345,guangdong
周口,周口收费站,,,henan
新蔡,新蔡收费站,,,henan
锡尼镇,锡尼镇收费站,,,neimenggu
保靖西,保靖西收费站,,,hunan
成雅新津东,,,,sichuan
雨花,雨花收费站,,,hunan
江市,江市收费站,,,hunan
江口,江口收费站,,,hunan
新晃,新晃收费站,,,hunan
归阳,归阳收费站,,,hunan
岳塘,岳塘收费站,,,hunan
湘潭北,湘潭北收费站,,,hunan
社港,社港收费站,,,hunan
金凤,,,,hunan
土林,土林收费站,0.001271,0.002374,yunnan
昭山,,,,hunan
张家界,张家界收费站,,,hunan
松木,,,,hunan
浣溪,浣溪收费站,,,hunan
津市工业区,津市工业区收费站,,,hunan
芷村,,,,yunnan
河尾村,河尾村收费站,0.008433,0.013498,yunnan
华坪,华坪收费站,0.003646,0.00678,yunnan
墨江,墨江收费站,0.003062,0.006238,yunnan
西华,西华收费站,1.13969,0.25566,yunnan
广通,广通收费站,0.00317,0.005477,yunnan
大营街,,,,yunnan
乐宜乐山,,,,sichuan
宁定路于都东,,,,jiangxi
东岔,,,,gansu
嘉峪关,嘉峪关收费站,0.000304,0.001648,gansu
曲江,,,,shaanxi
张河,,,,shaanxi
铁门,,,,chongqing
巴彦高勒,巴彦高勒收费站,,,neimenggu
免渡河,免渡河收费站,,,neimenggu
泌冲,,,,guangdong
厚街南,,,,guangdong
太平南,,,,guangdong
杜步,杜步收费站,0.006544,0.006178,guangdong
雅泸雅安南,,,,sichuan
宝丰,宝丰收费站,,,henan
鄂市窑沟,,,,neimenggu
神山,神山收费站,,,neimenggu
平原,平原收费站,,,shandong
齐河,齐河收费站,,,shandong
崮山,崮山收费站,,,shandong
高唐东,高唐东收费站,,,shandong
青州东,青州东收费站,,,shandong
泰安南,泰安南收费站,,,shandong
新泰南,新泰南收费站,,,shandong
费县,费县收费站,,,shandong
平邑东,平邑东收费站,,,shandong
栖霞,栖霞收费站,1.811317,5.177204,shandong
广饶,广饶收费站,,,shandong
滨州,滨州收费站,,,shandong
滨州北,滨州北收费站,,,shandong
苗山,苗山收费站,,,shandong
里岔,,,,shandong
城阳,城阳收费站,,,shandong
聊城南,聊城南收费站,,,shandong
莘县,莘县收费站,,,shandong
潍日滨海,,,,shandong
青岛东,青岛东收费站,,,shandong
青岛西,,,,shandong
乐至,乐至收费站,,,sichuan
广巴巴中西,,,,sichuan
成自泸裴家,,,,sichuan
纳黔震东,,,,sichuan
博白,博白收费站,0.004105,0.002553,guangxi
田东,田东收费站,0.000044,0.000306,guangxi
陆屋镇,陆屋镇收费站,0.004227,0.003268,guangxi
通灵,,,,guangxi
石湾北,,,,guangxi
岑溪,岑溪收费站,0.005171,0.002931,guangxi
伊岭岩,伊岭岩收费站,0.004185,0.002695,guangxi
双涝坝,双涝坝收费站,,,xinjiang
北渡,,,,chongqing
常平,,,,guangdong
龙川东,龙川东收费站,0.006413,0.006021,guangdong
南坪北,,,,guangdong
连南,连南收费站,0.041508,0.008333,guangdong
军垦农场,,,,guangdong
云龙,,,,hunan
大熊山,大熊山收费站,,,hunan
六安西,六安西收费站,0.000005,0.000079,anhui
花桥,花桥收费站,,,hunan
杨村,杨村收费站,4.467299,4.107662,hunan
怀化南,怀化南收费站,,,hunan
邓石桥,,,,hunan
雅康大兴,,,,sichuan
横坪,横坪收费站,0.006867,0.006128,guangdong
同和,,,,guangdong
礼乐,礼乐收费站,0.005836,0.002612,guangdong
人和,人和收费站,0.542785,0.504098,guangdong
古镇,,,,guangdong
建宁,建宁收费站,,,fujian
泰宁,泰宁收费站,,,fujian
南靖靖城,南靖靖城收费站,,,fujian
厦成闽赣,,,,fujian
漳港,漳港收费站,,,fujian
仙游龙华,仙游龙华收费站,,,fujian
遂平,遂平收费站,,,henan
漯河南,漯河南收费站,,,henan
许昌南,许昌南收费站,,,henan
襄城,襄城收费站,,,henan
上戈,上戈收费站,,,henan
星沙,星沙收费站,,,hunan
捞刀河,捞刀河收费站,,,hunan
草街,草街收费站,0.000086,0.00004,chongqing
东港,东港收费站,8.09761,16.985953,guangdong
萝岗南,,,,guangdong
海宴,海宴收费站,0.004927,0.002838,guangdong
海丰西,,,,guangdong
平沙,平沙收费站,0.006881,0.005836,guangdong
东莞东,,,,guangdong
广甘观音店,,,,sichuan
雅康泸定,,,,sichuan
雅康康定,,,,sichuan
新立,新立收费站,0.006527,0.006334,chongqing
吉利,,,,guangdong
上川,上川收费站,0.004833,0.002175,guangdong
官渡,官渡收费站,,,guangdong
帽峰山,,,,guangdong
荷城,荷城收费站,0,0,guangdong
粤西,粤西收费站,0.013422,0.028712,guangdong
兴宁东,兴宁东收费站,0.006482,0.006461,guangdong
杨溪,杨溪收费站,0.005637,0.002517,guangdong
洪湾,,,,guangdong
乳源东,乳源东收费站,0.005123,0.002265,guangdong
新桥,新桥收费站,4.88469,6.4363,guangdong
伦教,,,,guangdong
云路,云路收费站,0.009987,0.005374,guangdong
莲塘,莲塘收费站,0.514017,0.474377,guangdong
福永,福永收费站,0.05851,0.028092,guangdong
阳春北,,,,guangdong
唐集,唐集收费站,,,henan
达万磐石,,,,sichuan
巴广渝梁永,,,,sichuan
巴广渝玉山,,,,sichuan
巴广渝营山东升,,,,sichuan
巴广渝星火,,,,sichuan
巴广渝罗渡,,,,sichuan
吴桥,吴桥收费站,0.00572,0.000089,hebei
行唐南,行唐南收费站,0.003151,0.001902,hebei
昌黎东,昌黎东收费站,0.007142,0.005906,hebei
馆陶,馆陶收费站,0.11146,0.22951,hebei
霸州,霸州收费站,0.092674,0.075981,hebei
葡萄,葡萄收费站,0.004902,0.002815,guangxi
府城,府城收费站,0.003973,0.00271,guangxi
山口,,,,guangxi
三合,三合收费站,,,guangxi
宾阳,宾阳收费站,0.00531,0.003282,guangxi
雒容,雒容收费站,0.004167,0.003115,guangxi
下塘,下塘收费站,0.003448,0.00288,guangxi
桂黔独峒,,,,guangxi
桂湘思陇,,,,guangxi
门堂匝道,,,,qinghai
仙桥,,,,guangdong
柳家,,,,guangxi
楚米,楚米收费站,,,guizhou
平正,平正收费站,,,guizhou
石固,,,,guizhou
台烈,台烈收费站,,,guizhou
夏云,夏云收费站,,,guizhou
凯坝,,,,guizhou
金银山,,,,guizhou
阳春西,阳春西收费站,0.005365,0.003006,guangdong
蜀冈,,,,jiangsu
福禄,福禄收费站,0.00004,0.000016,chongqing
南头南,,,,guangdong
松旺,,,,guangxi
永安,永安收费站,0.004244,0.002608,guangxi
高岭,高岭收费站,0.003558,0.002981,guangxi
板溪,板溪收费站,0.00633,0.00459,chongqing
黔江北,,,,chongqing
铜梁北,铜梁北收费站,0.004079,0.027465,chongqing
司前北,,,,guangdong
黄田,黄田收费站,0.117658,0.091351,guangdong
民众A,,,,guangdong
北二蚌湖,,,,guangdong
A,,,,guangxi
老城,老城收费站,0.005524,0.000601,gansu
武威东,,,,gansu
胜芳,胜芳收费站,0.006055,0.001,hebei
霸州,霸州收费站,0.092674,0.075981,hebei
南和,南和收费站,0.00592,0.000353,hebei
望都,望都收费站,0.000434,0.000257,hebei
大江,大江收费站,0.004979,0.00281,guangdong
简蒲雷家,,,,sichuan
成新蒲,成新蒲收费站,,,sichuan
桦皮岭,,,,hebei
涉县,,,,hebei
平泉,平泉收费站,0.005999,0.001639,hebei
双峰寺,双峰寺收费站,0.006274,0.001733,hebei
胡庄,胡庄收费站,0.006196,0.002293,hebei
偏桥,,,,hebei
新庄子,新庄子收费站,0.00688,0.006114,hebei
迁安北,迁安北收费站,0.00676,0.004196,hebei
和村磁山,和村磁山收费站,0.006307,0.000257,hebei
南梁四川,,,,sichuan
塔斯塔克匝道,,,,xinjiang
G69南川,,,,chongqing
