"id","statName","lng","lat","prov"
"2110029526","吴庄收费站","118.316730","32.128970","anhui"
"2110029529","蚌埠北收费站","117.387940","32.997980","anhui"
"2110029531","凤阳收费站","117.728020","32.923140","anhui"
"2110029533","蒙城收费站","116.555460","33.179740","anhui"
"2110029536","宿州北收费站","116.973690","33.708750","anhui"
"2110029538","宿州市过境公路收费站","116.976480","33.720780","anhui"
"2110029539","蜀山收费站","117.140850","31.853970","anhui"
"2110029541","明光东收费站","118.046240","32.779040","anhui"
"2110029545","萧县南收费站","116.865030","34.088990","anhui"
"2110029547","鲍集收费站","117.120130","33.154060","anhui"
"2110029549","芜湖长江大桥收费站","118.374870","31.386850","anhui"
"2110029550","雍镇收费站","118.253770","31.409280","anhui"
"2110029554","双庙收费站","117.471530","32.106450","anhui"
"2110029557","阜阳东收费站","115.905870","32.965980","anhui"
"2110029559","金寨路收费站","117.235610","31.787360","anhui"
"2110029561","太和东收费站","115.884230","33.328030","anhui"
"2110029563","亳州南收费站","115.857520","33.765280","anhui"
"2110029565","龙塘收费站","117.421700","31.826250","anhui"
"2110029569","明光西收费站","117.950760","32.838080","anhui"
"2110029571","广德收费站","119.403100","30.873690","anhui"
"2110029575","芜湖收费站","118.414060","31.366170","anhui"
"2110029577","芜湖东收费站","118.482350","31.373450","anhui"
"2110029581","三十头收费站","117.351570","32.004920","anhui"
"2110029583","阜阳南收费站","115.924390","32.791380","anhui"
"2110029585","蚌埠收费站","117.299970","32.828600","anhui"
"2110029587","宿州东收费站","117.311390","33.689860","anhui"
"2110029589","滁州收费站","118.387200","32.387430","anhui"
"2110029591","亳州东收费站","115.858270","33.895200","anhui"
"2110029595","涡河桥收费站","116.207610","33.526580","anhui"
"2110029598","毛集收费站","116.603300","32.643680","anhui"
"2110029602","长丰南收费站","117.135360","32.376540","anhui"
"2110029605","泗县收费站","117.864970","33.541760","anhui"
"2110029610","淮北收费站","116.857790","33.884120","anhui"
"2110029614","三界收费站","118.182020","32.627870","anhui"
"2110029624","包河大道收费站","117.304450","31.800050","anhui"
"2110029627","蚌埠西收费站","117.255320","32.970850","anhui"
"2110029634","沫河口收费站","117.547620","32.995680","anhui"
"2110029641","亳州北收费站","115.761100","33.923260","anhui"
"2110029644","宿州南收费站","116.962430","33.511550","anhui"
"2110029647","灵璧收费站","117.555420","33.600450","anhui"
"2110029650","宿州收费站","116.946220","33.612000","anhui"
"2110029653","怀远西收费站","116.917400","33.067800","anhui"
"2110029656","荆涂淮河大桥收费站","117.209500","32.933900","anhui"
"2110029661","歙县东收费站","118.520800","29.955170","anhui"
"2110029664","绩溪收费站","118.561940","30.080490","anhui"
"2110029667","马鞍山南收费站","118.538830","31.639950","anhui"
"2110029669","马鞍山北收费站","118.533610","31.716060","anhui"
"2110029673","长集收费站","116.155960","32.037310","anhui"
"2110029678","罗集收费站","116.258630","31.923860","anhui"
"2110042177","西湖收费站","117.189290","29.846900","anhui"
"2110042179","官塘收费站","117.225870","32.679480","anhui"
"2110042181","淮南东收费站","117.136890","32.613010","anhui"
"2110042183","滨湖新区收费站","117.262470","31.720590","anhui"
"2110042184","宣城东收费站","118.822220","30.946150","anhui"
"2110045289","濉溪收费站","116.652380","33.764710","anhui"
"2110045292","横岗收费站","118.609070","31.277180","anhui"
"2110045294","皖苏芜湖收费站","118.617030","31.276480","anhui"
"2110050859","机场收费站","116.998970","31.953070","anhui"
"2110053433","三零七省道蚌怀段收费站","117.035520","33.010180","anhui"
"2110053434","宁国收费站","119.038090","30.596540","anhui"
"2110053436","宁国北收费站","118.990280","30.712220","anhui"
"2110053438","孙埠收费站","118.913170","30.883590","anhui"
"2110053440","利辛收费站","116.196890","33.187890","anhui"
"2110054441","皖豫临泉收费站","115.272430","32.851890","anhui"
"2110054442","临泉收费站","115.286880","32.854800","anhui"
"2110054444","阜南收费站","115.703910","32.786830","anhui"
"2110055210","郑蒲港收费站","118.317650","31.620940","anhui"
"2110055212","太白岛收费站","118.434880","31.604600","anhui"
"2110055214","采石矶收费站","118.484300","31.618960","anhui"
"2110055216","黟县收费站","117.941670","29.835410","anhui"
"2110055217","休宁收费站","118.088270","29.760840","anhui"
"2110055220","赣皖新安收费站","117.291570","29.886600","anhui"
"2110055221","皖赣新安收费站","117.291650","29.887250","anhui"
"2110055222","闪里收费站","117.361770","29.876820","anhui"
"2110055224","牯牛降收费站","117.509140","29.843480","anhui"
"2110055226","祁门收费站","117.778730","29.845460","anhui"
"2110056842","黄泥岗收费站","118.298540","32.470160","anhui"
"2110057554","含山南收费站","118.088340","31.655890","anhui"
"2110060777","九梓收费站","117.442040","32.358850","anhui"
"2110067858","金沙收费站","118.734980","30.255430","anhui"
"2110067859","甲路收费站","118.868280","30.435390","anhui"
"2110068073","长沟东收费站","117.742440","33.502070","anhui"
"2110068075","五河西收费站","117.848800","33.100200","anhui"
"2110069431","２０５国道马鞍山收费站","118.426460","31.480240","anhui"
"2110071123","庐江南收费站","117.232310","31.206110","anhui"
"2110133455","大别山东收费站","116.376170","31.270300","anhui"
"2110137386","太白收费站","118.521590","31.489630","anhui"
"3837361","国家电网肥东供电公司龙山收费站","117.728770","32.132230","anhui"
"46975194","来安曹庄服务区收费站","118.588960","32.292380","anhui"
"971488","国家电网肥东供电公司青龙收费站","117.389900","32.186670","anhui"
"2110005447","居庸关收费站","116.077440","40.287640","beijing"
"2110005448","收费站","116.089540","40.276720","beijing"
"2110005449","西集收费站","116.879060","39.803470","beijing"
"2110005453","磁各庄收费站","116.405630","39.721070","beijing"
"2110005455","南大红门收费站","116.460220","39.725770","beijing"
"2110005461","太和收费站","116.497350","39.735440","beijing"
"2110005463","香河收费站","116.998570","39.794510","beijing"
"2110005469","固安东收费站","116.411000","39.423040","beijing"
